"variant","date","frequency","frequency_gapfill","frequency_7day","hover_text_variant"
"Omicron BA.2.12.1",2022-05-30,0.67,0.67,0.64,"May 30, 2022<br><b>Omicron BA.2.12.1</b> 67%"
"Omicron BA.2.75",2022-05-30,NA,NA,NA,"May 30, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-05-30,NA,NA,NA,"May 30, 2022<br><b>Omicron BA.4</b> NaN%"
"Omicron BA.4 and BA.5",2022-05-30,0.245,0.245,0.228143,"May 30, 2022<br><b>Omicron BA.4 and BA.5</b> 24.5%"
"Omicron BA.5 (Excluding BQ.1)",2022-05-30,NA,NA,NA,"May 30, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> NaN%"
"Omicron BQ.1",2022-05-30,NA,NA,NA,"May 30, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-05-30,NA,NA,NA,"May 30, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-05-31,NA,NA,NA,"May 31, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-05-31,NA,NA,NA,"May 31, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-05-31,0,0,0,"May 31, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-05-31,0,0,0.110714,"May 31, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-05-31,0.68,0.68,0.622857,"May 31, 2022<br><b>Omicron BA.2.12.1</b> 68%"
"Omicron BA.2.75",2022-05-31,NA,NA,NA,"May 31, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-05-31,0.09,0.09,0.09,"May 31, 2022<br><b>Omicron BA.4</b> 9%"
"Omicron BA.4 and BA.5",2022-05-31,NA,NA,0.2475,"May 31, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-05-31,0.16,0.16,0.16,"May 31, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 16%"
"Omicron BQ.1",2022-05-31,NA,NA,NA,"May 31, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-05-31,NA,NA,NA,"May 31, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-01,NA,NA,NA,"Jun 01, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-01,NA,NA,NA,"Jun 01, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-01,0,0,0,"Jun 01, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-01,0,0,0.120714,"Jun 01, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-01,0.72,0.72,0.637143,"Jun 01, 2022<br><b>Omicron BA.2.12.1</b> 72%"
"Omicron BA.2.75",2022-06-01,NA,NA,NA,"Jun 01, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-01,0.09,0.09,0.09,"Jun 01, 2022<br><b>Omicron BA.4</b> 9%"
"Omicron BA.4 and BA.5",2022-06-01,NA,NA,NA,"Jun 01, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-01,0.14,0.14,0.15,"Jun 01, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 14%"
"Omicron BQ.1",2022-06-01,NA,NA,NA,"Jun 01, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-01,NA,NA,NA,"Jun 01, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-02,NA,NA,NA,"Jun 02, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-02,NA,NA,NA,"Jun 02, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-02,0,0,0,"Jun 02, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-02,0,0,0.104286,"Jun 02, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-02,0.62,0.62,0.631429,"Jun 02, 2022<br><b>Omicron BA.2.12.1</b> 62%"
"Omicron BA.2.75",2022-06-02,NA,NA,NA,"Jun 02, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-02,0.11,0.11,0.096667,"Jun 02, 2022<br><b>Omicron BA.4</b> 11%"
"Omicron BA.4 and BA.5",2022-06-02,NA,NA,NA,"Jun 02, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-02,0.22,0.22,0.173333,"Jun 02, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 22%"
"Omicron BQ.1",2022-06-02,NA,NA,NA,"Jun 02, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-02,NA,NA,NA,"Jun 02, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-03,NA,NA,NA,"Jun 03, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-03,NA,NA,NA,"Jun 03, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-03,0,0,0,"Jun 03, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-03,0,0,0.045857,"Jun 03, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-03,0.71,0.71,0.671429,"Jun 03, 2022<br><b>Omicron BA.2.12.1</b> 71%"
"Omicron BA.2.75",2022-06-03,NA,NA,NA,"Jun 03, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-03,0.11,0.11,0.1,"Jun 03, 2022<br><b>Omicron BA.4</b> 11%"
"Omicron BA.4 and BA.5",2022-06-03,NA,NA,NA,"Jun 03, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-03,0.16,0.16,0.17,"Jun 03, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 16%"
"Omicron BQ.1",2022-06-03,NA,NA,NA,"Jun 03, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-03,NA,NA,NA,"Jun 03, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-04,NA,NA,NA,"Jun 04, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-04,NA,NA,NA,"Jun 04, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-04,0,0,0,"Jun 04, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-04,0,0,0.026143,"Jun 04, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-04,0.7,0.7,0.677143,"Jun 04, 2022<br><b>Omicron BA.2.12.1</b> 70%"
"Omicron BA.2.75",2022-06-04,NA,NA,NA,"Jun 04, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-04,0.13,0.13,0.106,"Jun 04, 2022<br><b>Omicron BA.4</b> 13%"
"Omicron BA.4 and BA.5",2022-06-04,NA,NA,NA,"Jun 04, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-04,0.2,0.2,0.176,"Jun 04, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 20%"
"Omicron BQ.1",2022-06-04,NA,NA,NA,"Jun 04, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-04,NA,NA,NA,"Jun 04, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-05,NA,NA,NA,"Jun 05, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-05,NA,NA,NA,"Jun 05, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-05,0,0,0,"Jun 05, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-05,0,0,0.010714,"Jun 05, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-05,0.62,0.62,0.674286,"Jun 05, 2022<br><b>Omicron BA.2.12.1</b> 62%"
"Omicron BA.2.75",2022-06-05,NA,NA,NA,"Jun 05, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-05,0.1,0.1,0.105,"Jun 05, 2022<br><b>Omicron BA.4</b> 10%"
"Omicron BA.4 and BA.5",2022-06-05,NA,NA,NA,"Jun 05, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-05,0.25,0.25,0.188333,"Jun 05, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 25%"
"Omicron BQ.1",2022-06-05,NA,NA,NA,"Jun 05, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-05,NA,NA,NA,"Jun 05, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-06,NA,NA,NA,"Jun 06, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-06,NA,NA,NA,"Jun 06, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-06,0,0,0,"Jun 06, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-06,0,0,0,"Jun 06, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-06,0.68,0.68,0.675714,"Jun 06, 2022<br><b>Omicron BA.2.12.1</b> 68%"
"Omicron BA.2.75",2022-06-06,NA,NA,NA,"Jun 06, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-06,0.14,0.14,0.11,"Jun 06, 2022<br><b>Omicron BA.4</b> 14%"
"Omicron BA.4 and BA.5",2022-06-06,NA,NA,NA,"Jun 06, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-06,0.17,0.17,0.185714,"Jun 06, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 17%"
"Omicron BQ.1",2022-06-06,NA,NA,NA,"Jun 06, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-06,NA,NA,NA,"Jun 06, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-07,NA,NA,NA,"Jun 07, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-07,NA,NA,NA,"Jun 07, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-07,0,0,0,"Jun 07, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-07,0,0,0,"Jun 07, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-07,0.65,0.65,0.671429,"Jun 07, 2022<br><b>Omicron BA.2.12.1</b> 65%"
"Omicron BA.2.75",2022-06-07,NA,NA,NA,"Jun 07, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-07,0.15,0.15,0.118571,"Jun 07, 2022<br><b>Omicron BA.4</b> 15%"
"Omicron BA.4 and BA.5",2022-06-07,NA,NA,NA,"Jun 07, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-07,0.19,0.19,0.19,"Jun 07, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 19%"
"Omicron BQ.1",2022-06-07,NA,NA,NA,"Jun 07, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-07,NA,NA,NA,"Jun 07, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-08,NA,NA,NA,"Jun 08, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-08,NA,NA,NA,"Jun 08, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-08,0,0,0,"Jun 08, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-08,0,0,0,"Jun 08, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-08,0.58,0.58,0.651429,"Jun 08, 2022<br><b>Omicron BA.2.12.1</b> 58%"
"Omicron BA.2.75",2022-06-08,NA,NA,NA,"Jun 08, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-08,0.15,0.15,0.127143,"Jun 08, 2022<br><b>Omicron BA.4</b> 15%"
"Omicron BA.4 and BA.5",2022-06-08,NA,NA,NA,"Jun 08, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-08,0.22,0.22,0.201429,"Jun 08, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 22%"
"Omicron BQ.1",2022-06-08,NA,NA,NA,"Jun 08, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-08,NA,NA,NA,"Jun 08, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-09,NA,NA,NA,"Jun 09, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-09,NA,NA,NA,"Jun 09, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-09,0,0,0,"Jun 09, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-09,0,0,0,"Jun 09, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-09,0.59,0.59,0.647143,"Jun 09, 2022<br><b>Omicron BA.2.12.1</b> 59%"
"Omicron BA.2.75",2022-06-09,NA,NA,NA,"Jun 09, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-09,0.15,0.15,0.132857,"Jun 09, 2022<br><b>Omicron BA.4</b> 15%"
"Omicron BA.4 and BA.5",2022-06-09,NA,NA,NA,"Jun 09, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-09,0.22,0.22,0.201429,"Jun 09, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 22%"
"Omicron BQ.1",2022-06-09,NA,NA,NA,"Jun 09, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-09,NA,NA,NA,"Jun 09, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-10,NA,NA,NA,"Jun 10, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-10,NA,NA,NA,"Jun 10, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-10,0,0,0,"Jun 10, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-10,0,0,0,"Jun 10, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-10,0.62,0.62,0.634286,"Jun 10, 2022<br><b>Omicron BA.2.12.1</b> 62%"
"Omicron BA.2.75",2022-06-10,NA,NA,NA,"Jun 10, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-10,0.19,0.19,0.144286,"Jun 10, 2022<br><b>Omicron BA.4</b> 19%"
"Omicron BA.4 and BA.5",2022-06-10,NA,NA,NA,"Jun 10, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-10,0.22,0.22,0.21,"Jun 10, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 22%"
"Omicron BQ.1",2022-06-10,NA,NA,NA,"Jun 10, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-10,NA,NA,NA,"Jun 10, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-11,NA,NA,NA,"Jun 11, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-11,NA,NA,NA,"Jun 11, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-11,0,0,0,"Jun 11, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-11,0,0,0,"Jun 11, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-11,0.57,0.57,0.615714,"Jun 11, 2022<br><b>Omicron BA.2.12.1</b> 57%"
"Omicron BA.2.75",2022-06-11,NA,NA,NA,"Jun 11, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-11,0.21,0.21,0.155714,"Jun 11, 2022<br><b>Omicron BA.4</b> 21%"
"Omicron BA.4 and BA.5",2022-06-11,NA,NA,NA,"Jun 11, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-11,0.22,0.22,0.212857,"Jun 11, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 22%"
"Omicron BQ.1",2022-06-11,NA,NA,NA,"Jun 11, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-11,NA,NA,NA,"Jun 11, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-12,NA,NA,NA,"Jun 12, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-12,NA,NA,NA,"Jun 12, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-12,0,0,0,"Jun 12, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-12,0,0,0,"Jun 12, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-12,0.61,0.61,0.614286,"Jun 12, 2022<br><b>Omicron BA.2.12.1</b> 61%"
"Omicron BA.2.75",2022-06-12,NA,NA,NA,"Jun 12, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-12,0.14,0.14,0.161429,"Jun 12, 2022<br><b>Omicron BA.4</b> 14%"
"Omicron BA.4 and BA.5",2022-06-12,NA,NA,NA,"Jun 12, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-12,0.29,0.29,0.218571,"Jun 12, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 29%"
"Omicron BQ.1",2022-06-12,NA,NA,NA,"Jun 12, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-12,NA,NA,NA,"Jun 12, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-13,NA,NA,NA,"Jun 13, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-13,NA,NA,NA,"Jun 13, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-13,0,0,0,"Jun 13, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-13,0,0,0,"Jun 13, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-13,0.46,0.46,0.582857,"Jun 13, 2022<br><b>Omicron BA.2.12.1</b> 46%"
"Omicron BA.2.75",2022-06-13,NA,NA,NA,"Jun 13, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-13,0.15,0.15,0.162857,"Jun 13, 2022<br><b>Omicron BA.4</b> 15%"
"Omicron BA.4 and BA.5",2022-06-13,NA,NA,NA,"Jun 13, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-13,0.31,0.31,0.238571,"Jun 13, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 31%"
"Omicron BQ.1",2022-06-13,NA,NA,NA,"Jun 13, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-13,NA,NA,NA,"Jun 13, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-14,NA,NA,NA,"Jun 14, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-14,NA,NA,NA,"Jun 14, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-14,0.02,0.02,0.002857,"Jun 14, 2022<br><b>Omicron BA.1</b> 2%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-14,0,0,0,"Jun 14, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-14,0.59,0.59,0.574286,"Jun 14, 2022<br><b>Omicron BA.2.12.1</b> 59%"
"Omicron BA.2.75",2022-06-14,NA,NA,NA,"Jun 14, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-14,0.14,0.14,0.161429,"Jun 14, 2022<br><b>Omicron BA.4</b> 14%"
"Omicron BA.4 and BA.5",2022-06-14,NA,NA,NA,"Jun 14, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-14,0.28,0.28,0.251429,"Jun 14, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 28%"
"Omicron BQ.1",2022-06-14,NA,NA,NA,"Jun 14, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-14,NA,NA,NA,"Jun 14, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-15,NA,NA,NA,"Jun 15, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-15,NA,NA,NA,"Jun 15, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-15,0,0,0.002857,"Jun 15, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-15,0,0,0,"Jun 15, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-15,0.47,0.47,0.558571,"Jun 15, 2022<br><b>Omicron BA.2.12.1</b> 47%"
"Omicron BA.2.75",2022-06-15,NA,NA,NA,"Jun 15, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-15,0.18,0.18,0.165714,"Jun 15, 2022<br><b>Omicron BA.4</b> 18%"
"Omicron BA.4 and BA.5",2022-06-15,NA,NA,NA,"Jun 15, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-15,0.37,0.37,0.272857,"Jun 15, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 37%"
"Omicron BQ.1",2022-06-15,NA,NA,NA,"Jun 15, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-15,NA,NA,NA,"Jun 15, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-16,NA,NA,NA,"Jun 16, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-16,NA,NA,NA,"Jun 16, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-16,0.01,0.01,0.004286,"Jun 16, 2022<br><b>Omicron BA.1</b> 1%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-16,0,0,0,"Jun 16, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-16,0.46,0.46,0.54,"Jun 16, 2022<br><b>Omicron BA.2.12.1</b> 46%"
"Omicron BA.2.75",2022-06-16,NA,NA,NA,"Jun 16, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-16,0.2,0.2,0.172857,"Jun 16, 2022<br><b>Omicron BA.4</b> 20%"
"Omicron BA.4 and BA.5",2022-06-16,NA,NA,NA,"Jun 16, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-16,0.31,0.31,0.285714,"Jun 16, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 31%"
"Omicron BQ.1",2022-06-16,NA,NA,NA,"Jun 16, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-16,NA,NA,NA,"Jun 16, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-17,NA,NA,NA,"Jun 17, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-17,NA,NA,NA,"Jun 17, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-17,0,0,0.004286,"Jun 17, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-17,0,0,0,"Jun 17, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-17,0.45,0.45,0.515714,"Jun 17, 2022<br><b>Omicron BA.2.12.1</b> 45%"
"Omicron BA.2.75",2022-06-17,NA,NA,NA,"Jun 17, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-17,0.16,0.16,0.168571,"Jun 17, 2022<br><b>Omicron BA.4</b> 16%"
"Omicron BA.4 and BA.5",2022-06-17,NA,NA,NA,"Jun 17, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-17,0.36,0.36,0.305714,"Jun 17, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 36%"
"Omicron BQ.1",2022-06-17,NA,NA,NA,"Jun 17, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-17,NA,NA,NA,"Jun 17, 2022<br><b>XBB</b> NaN%"
"Alpha, Beta & Gamma",2022-06-18,NA,NA,NA,"Jun 18, 2022<br><b>Alpha, Beta & Gamma</b> NaN%"
"Delta",2022-06-18,NA,NA,NA,"Jun 18, 2022<br><b>Delta</b> NaN%"
"Omicron BA.1",2022-06-18,0,0,0.004286,"Jun 18, 2022<br><b>Omicron BA.1</b> 0%"
"Omicron BA.2 (Excluding BA.2.12.1)",2022-06-18,0,0,0,"Jun 18, 2022<br><b>Omicron BA.2 (Excluding BA.2.12.1)</b> 0%"
"Omicron BA.2.12.1",2022-06-18,0.4,0.4,0.491429,"Jun 18, 2022<br><b>Omicron BA.2.12.1</b> 40%"
"Omicron BA.2.75",2022-06-18,NA,NA,NA,"Jun 18, 2022<br><b>Omicron BA.2.75</b> NaN%"
"Omicron BA.4",2022-06-18,0.23,0.23,0.171429,"Jun 18, 2022<br><b>Omicron BA.4</b> 23%"
"Omicron BA.4 and BA.5",2022-06-18,NA,NA,NA,"Jun 18, 2022<br><b>Omicron BA.4 and BA.5</b> NaN%"
"Omicron BA.5 (Excluding BQ.1)",2022-06-18,0.33,0.33,0.321429,"Jun 18, 2022<br><b>Omicron BA.5 (Excluding BQ.1)</b> 33%"
"Omicron BQ.1",2022-06-18,NA,NA,NA,"Jun 18, 2022<br><b>Omicron BQ.1</b> NaN%"
"XBB",2022-06-18,NA,NA,NA,"Jun 18, 2022<br><b>XBB</b> NaN%"
