"date","copies_day_person_M_mn","copies_day_person_M_se"
2021-03-16,49.1910443919815,2.94586321747271
2021-03-17,50.3371860458993,4.03293991889052
2021-03-18,42.2427799244009,1.52384735097332
2021-03-19,37.6731548787864,4.15631080868544
2021-03-20,85.929994410804,2.87832269316366
2021-03-21,44.9562222134503,0.940444914322511
2021-03-22,62.6328590669666,0.665841901792264
2021-03-23,54.7431120767815,2.91289369550826
2021-03-24,64.9611699493556,1.76940706985178
2021-03-25,69.1682677727399,5.53545246717378
2021-03-26,64.8333085763674,2.0286831180282
2021-03-27,73.4432930804606,2.31579580753674
2021-03-28,105.955317800315,3.27513324114474
2021-03-29,85.168112968917,5.3187791601665
2021-03-30,82.7640113757944,1.54948004541214
2021-03-31,88.4443818646753,1.6363930850428
2021-04-01,88.3348989772279,2.53215337033125
